2025-08-18 14:32:07.130 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-18 14:32:07.138 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-18 14:32:07.138 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-08-18 14:32:07.138 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2025-08-18 14:32:07.210 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-08-18 14:32:07.212 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1090 ms
2025-08-18 14:32:07.959 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@44084713, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6d8b7ea9, org.springframework.security.web.context.SecurityContextHolderFilter@349312d5, org.springframework.security.web.header.HeaderWriterFilter@3a5b7d7e, org.springframework.security.web.authentication.logout.LogoutFilter@54b44879, com.ankai.security.JwtAuthenticationFilter@7a66c35a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@47eaf55c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2c0798bd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5a39e554, org.springframework.security.web.session.SessionManagementFilter@26994c6a, org.springframework.security.web.access.ExceptionTranslationFilter@12209826, org.springframework.security.web.access.intercept.AuthorizationFilter@31f31b20]
2025-08-18 14:32:08.177 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-08-18 14:32:08.192 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/api'
2025-08-18 14:32:08.201 [main] INFO  com.ankai.AnKaiBackendApplication - Started AnKaiBackendApplication in 2.617 seconds (process running for 3.349)
2025-08-18 14:32:42.897 [http-nio-8080-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-08-18 14:32:42.897 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-08-18 14:32:42.898 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-08-18 14:37:16.045 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2025-08-18 14:37:16.104 [main] INFO  com.ankai.AnKaiBackendApplication - Starting AnKaiBackendApplication using Java 17.0.15 with PID 25104 (C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend\target\classes started by A in C:\Users\A\Desktop\AnKaiBackend\Ankai_Backend)
2025-08-18 14:37:16.106 [main] INFO  com.ankai.AnKaiBackendApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-18 14:37:17.519 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-18 14:37:17.528 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
